GDP	Timestamp	DiscountRate	Spread
2761.85	413.4980	276.4	1.6
2762.89	413.9029	271.7	1.2
2765.08	414.7694	273.4	1.5
2766.18	415.1953	271.8	1.7
2767.33	415.6470	274.6	1.8
2769.48	416.5004	273.7	0.8
2770.58	416.9458	271.2	1.5
2771.68	417.3983	273.8	1.6
2773.88	418.3314	268.6	1.4
2774.96	418.8332	266.4	1.8
2776.13	419.3806	270.6	1.1
2778.28	420.4021	267.7	2.9
2779.39	420.9066	268.3	1.9
2780.48	421.3575	270.8	1.1
2781.32	421.6865	270.0	2.5
2781.96	421.9398	265.4	2.0
2782.73	422.2601	255.3	1.3
2783.81	422.7357	252.1	0.7
2784.88	423.2342	248.2	0.9
2785.27	423.4289	242.5	1.5
2787.08	424.4248	219.7	1.7
2788.03	424.9993	227.2	2.2
2789.29	425.8275	211.5	1.7
2789.67	426.0966	207.6	1.3
2790.78	426.9546	209.8	1.6
2791.87	427.9267	207.5	1.3
2792.97	428.9529	200.3	1.6
2794.08	429.9528	201.7	1.6
2795.17	430.9309	201.3	1.1
2796.28	431.9398	202.0	1.5
2797.38	432.9712	199.1	1.1
2798.92	434.4135	201.1	0.9
2800.02	435.4396	203.5	0.6
2801.13	436.4346	208.1	1.8
2802.21	437.2922	201.7	1.7
2803.33	438.1419	201.2	2.1
2804.42	439.0143	204.9	1.4
2805.52	439.9154	201.9	1.8
2806.62	440.7829	198.4	1.3
2807.72	441.6556	193.3	1.6
2808.82	442.5580	192.5	1.0
2809.46	443.0778	199.1	0.6
2809.93	443.4506	204.3	1.0
2810.56	443.9644	203.3	1.0
2811.01	444.3269	208.3	1.4
2812.12	445.1973	202.4	1.3
2813.21	446.0008	195.5	0.8
2814.32	446.8540	190.7	1.9
2815.43	447.7678	194.4	0.7
2816.52	448.7356	199.9	2.6
2817.25	449.3870	205.2	0.9
2817.62	449.7264	210.0	0.7
2818.72	450.6821	208.1	2.2
2819.83	451.5780	204.4	1.9
2820.92	452.4625	203.4	1.2
2822.01	453.4205	205.5	0.9
2822.66	454.0073	206.5	0.9
2823.11	454.4082	215.5	2.3
2823.76	454.9726	218.7	0.9
2824.22	455.3687	229.2	1.4
2824.86	455.9114	232.7	0.7
2825.31	456.2771	243.7	1.8
2826.05	456.8566	243.9	1.1
2826.42	457.1217	245.6	0.9
2827.53	457.8618	241.2	1.7
2828.63	458.5595	233.1	0.6
2829.72	459.3351	232.8	1.1
2830.82	460.1938	236.6	1.0
2831.93	460.9769	239.1	0.9
2832.56	461.3744	236.5	1.2
2833.02	461.6573	231.3	1.0
